Fecha,Técnico,Condición,Situación,Resultado1,Resultado2,Club,Torneo,Estadio,Árbitro,Huracán,Rival,Foto,Incidencias,Fin1T,Fin2T,Fin1E,Fin2E
15/02/1936,De los Santos,neutral,empate,1,1,Corinthians (Brasil),Gira por Brasil (amistoso),Rúa da Mooca (San Pablo),Guimaraes,"Delfino (Juan A Estrada); Genaro Mastrángelo y Pascual Buglione; Juan M Bongiovanni, José Romero y José Sosa; Carlos Belfiore, Daniel Bálsamo, Lamas, Emilio Baldonedo y Ricardo Gil.","José Hungares; Euclydes Jaú y Carlos Menjou; Ovídio Moreira, José Brandao y Antonio Munhoz; Agostinho Teixeira, André Tedesco (Jango), Uriel Teleco, José Rato y Alexandre De Maria.",foto,27 GOL Agostinho Teixeira (COR)</br>62 GOL Daniel Bálsamo (HUR),45,90,0,0
29/01/1939,Casanovas,visitante,victoria,4,3,Corinthians (Brasil),Gira por Brasil 1939 (amistoso),Parque Sao Jorge (San Pablo),José Alexandrino,"Alfonso Espada; Carlos Marinelli y Jorge Alberti; Juan M Bongiovanni (Héctor García), Héctor García (46 Manuel Giúdice) y Juan M Sosa (46 Jorge Titonell); Rafael Catalá, Daniel Bálsamo, Alberto Crotti, Emilio Baldonedo y Carlos Belfiore.","José Hungares (46 Faustino); Miro y Carlos Menjou; Antonio Munhoz (46 Jango), José Brandao y Tiao; José Lopes, Joao Joane, André Teleco, Wilson Zanini y Carlinhos Brunelli.",foto,4 GOL Lópes (COR)</br>29 GOL Emilio Baldonedo (HUR)</br>43 GOL Emilio Baldonedo (HUR)</br>54 GOL Rafael Catalá (HUR)</br>71 GOL Daniel Bálsamo (HUR)</br>73 GOL Carlos Marinelli (COR) -en contra-</br>76 GOL Teleco (COR),45,90,0,0
02/02/1939,Casanovas,visitante,derrota,1,2,Paléstra Italia (Brasil),Gira por Brasil 1939 (amistoso),Parque Antarctica (San Pablo),José Alexandrino,"Alfonso Espada; Carlos Marinelli y Jorge Alberti; Juan M Bongiovanni (Héctor García), Manuel Giúdice y Juan M Sosa (Jorge Titonell); Carlos Belfiore (Rafael Catalá), Daniel Bálsamo, Alberto Crotti, Emilio Baldonedo y Juan S Belmonte.","Jurandir; Carneiro y Junqueira;Tunga, Dula y Del Nero; Barcelona, Luizinho Oliveira (Rolando), Carlos, Rolando (Feitiço) e Imparato.",foto,28 GOL Daniel Bálsamo (HUR)</br>34 GOL Rolando (PAL)</br>60 GOL Carlos (PAL),45,90,0,0
06/02/1939,Casanovas,visitante,derrota,1,4,Portuguesa Santista (Brasil),Gira por Brasil 1939 (amistoso),Marapé (Santos),Jorge Miguel,"Benjamín Martínez (Alfonso Espada); Carlos Marinelli y Jorge Alberti (Vidal); Juan M Bongiovanni (Jorge Titonell), Héctor García (Manuel Giúdice) y Juan M Sosa; Carlos Belfiore, Daniel Bálsamo, Alberto Crotti, Emilio Baldonedo y Juan S Belmonte.","Ratto; Tuffy y Virgilio (Brun); Cabo Verde, Navarro (Ary) y Anthero; Pintado (Vega), Armandinho, Corréa, Rato y Logú.",foto,16 GOL Rato (POR)</br>29 GOL Alberto Crotti (HUR)</br>52 GOL Corréa (POR)</br>71 GOL Logú (POR)</br>86 GOL Logú (POR),45,90,0,0
11/02/1939,Casanovas,visitante,derrota,4,5,Vasco - América (Brasil),Gira por Brasil 1939 (amistoso),Rua Campos Sales (Brasil),Sánchez Díaz,"Alfonso Espada (Benjamín Martínez); Carlos Marinelli y Jorge Alberti; Jorge Titonell, Héctor García y José M Sosa; Juan M Bongiovanni, Daniel Bálsamo, Alberto Crotti, Emilio Baldonedo y Carlos Belfiore.","Joel; Jaú y Badu; Possato (Alcebíades), Aziz (Sidney) y Argemiro; Lindo, Alfredo, Plácido, Carola (Bahia) y Pirica.",foto,12 GOL Plácido (VGA)</br>20 GOL Plácido (VGA)</br>17 GOL Alfredo (VGA)</br>28 GOL Alfredo Crotti (HUR)</br>29 GOL Lindo (VGA)</br>55 GOL Emilio Baldonedo (HUR)</br>56 GOL Emilio Baldonedo (HUR)</br>68 GOL Daniel Bálsamo (HUR)</br>84 GOL Alfredo (VGA),45,90,0,0
28/02/1940,De los Santos,visitante,derrota,1,4,Racing Club,Amistoso 1940,Racing,-,-,-,foto,GOL Delfín Benítez Cáceres</br>GOL Delfín Benítez Cácares (RAC)</br>GOL Godoy (RAC)</br>GOL Devizia (RAC),45,90,0,0
00/03/1940,De los Santos,visitante,victoria,3,1,Argentinos del Norte (Tucumán),Amistoso 1940,-,-,-,foto,sin datos,45,90,0,0
16/03/1940,De los Santos,neutral,empate,3,3,Atlanta,Amistoso 1940,Chacarita,-,-,"Donato; Carignano y J Rodríguez; Laje, Covacich y Battagliero; Latanzio, Esclina, Colosia, F Rodríguez y Luna.",foto,13 GOL Delfín Unzué (HUR)</br>23 GOL Esclina (ATL)</br>42 GOL Plácido Rodríguez (HUR)</br>58 GOL Latanzio (ATL)</br>72 GOL F Rodríguez (ATL)</br>75 GOL Delfín Unzué (HUR),45,90,0,0
30/03/1940,De los Santos,neutral,victoria,3,0,Independiente Rivadavia (Mendoza),Amistoso 1940,Gimnasia (Mendoza),Conte,"Bruno Barrionuevo; Carlos Marinelli (46 Pascual Buglione) y Jorge Alberti; Juan M Bongiovanni, Manuel Giúdice (46 Colombo) y Jorge Titonell; Rubén Perdomo (46 Carlos Belfiore), Rogelio Barros (28 Delfín Unzué), Ramón Guerra (46 Herminio Masantonio), Emilio Baldonedo y Plácido Rodríguez.","Loddi; Bolognesi y Ponce; Vinagras (46 Merlo), Garrido y Paratore; Bartolucci, Rouyere, Campos (46 Tampín), Flores e Izquierdo.",foto,24 GOL Rubén Perdomo (HUR)</br>35 GOL Delfín Unzué (HUR)</br>78 GOL Plácido Rodríguez (HUR),45,90,0,0
31/03/1940,De los Santos,visitante,victoria,1,0,Gimnasia y Esgrima (Mendoza),Amistoso 1940,Gimnasia (Mendoza),Quaglia,"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti; Juan M Bongiovanni, Manuel Giúdice y Jorge Titonell; Rubén Perdomo, Ramón Guerra, Herminio Masantonio (Delfín Unzué (Herminio Masantonio)), Emilio Baldonedo y Plácido Rodríguez.","Cieri; Quinteros y Méndez; J Rodríguez, Hernández y Ortiz (Olivencia); E López (Villarreal), Páez, Gutiérrez, F Rodríguez y B López.",foto,59 GOL Manuel Giúdice (HUR),45,90,0,0
07/04/1940,De los Santos,local,derrota,2,4,San Lorenzo de Almagro,1° fecha del Campeonato 1940,La Quema,Carou,"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti; Juan M Bongiovanni, Manuel Giúdice y Jorge Titonell; Rubén Perdomo, Rogelio Barros, Herminio Masantonio, Ramón Guerra y Plácido Rodríguez.","Sebastián Gualco; Terzolo y González; Morales, Farías y Colombo; Vidal, Fabrini, Isidro Lángara, Waldemar de Brito y Núñez.",foto,1 GOL Plácido Rodríguez (HUR)</br>10 GOL Plácido Rodríguez (HUR)</br>43 GOL Isidro Lángara (SLO)</br>60 GOL Isidro Lángara (SLO)</br>63 GOL Waldemar de Brito (SLO)</br>81 GOL Núñez (SLO),45,90,0,0
14/04/1940,De los Santos,visitante,victoria,4,2,Ferro C. Oeste,2° fecha del Campeonato 1940,Caballlito,Destaillats,"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti; Juan M Bongiovanni, Manuel Giúdice y Jorge Titonell; Rubén Perdomo, Rogelio Barros, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","Rizzo; Noceda y Lezcano; Sangenito, Corvetto y Fariña; Natino, H Rodríguez, Liztherman, Pícaro y Giménez.",foto,31 GOL Rogelio Barros (HUR)</br>33 GOL Plácido Rodríguez (HUR)</br>47 GOL Herminio Masantonio (HUR)</br>87 GOL Herminio Masantonio (HUR)</br>56 GOL Pícaro (FCO)</br>82 GOL Giménez (FCO),45,90,0,0
20/04/1940,De los Santos,local,victoria,2,1,Banfield,Amistoso 1940,La Quema,-,-,-,foto,sin datos,45,90,0,0
21/04/1940,De los Santos,local,victoria,GP,PP,Banfield,3° fecha del Campeonato 1940,La Quema,-,-,-,foto,Vence Huracán porque Banfield está suspendido,0,0,0,0
28/04/1940,De los Santos,visitante,derrota,1,4,Chacarita Juniors,4° fecha del Campeonato 1940,Chacarita,Álvarez,"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti; Juan M Bongiovanni, Manuel Giúdice y Jorge Titonell; Rubén Perdomo, Delfín Unzué, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","López; Trincavelli y Emanuelli; Araguez, Segovia y Fazio; R Rodríguez, Casagrande, Cassán, Paesch y Roggero.",foto,8 GOL Rubén Perdomo (HUR)</br>35 GOL Cassán (CHJ)</br>44 GOL Roggero (CHJ)</br>52 GOL Casagrande (CHJ)</br>81 GOL Cassán (CHJ),45,90,0,0
05/05/1940,De los Santos,local,victoria,2,0,Platense,5° fecha del Campeonato 1940,La Quema,Vázquez,"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti; Juan M Bongiovanni, Manuel Giúdice y Jorge Titonell; Rubén Perdomo, Rogelio Barros, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","López; Aldabe y Boero; Esperón, Toledo y Galvagni; Lucífero, Amiano, Stagi, Fernández y Ithourbide.",foto,29 GOL Plácido Rodríguez (HUR)</br>44 GOL Herminio Masantonio (HUR),45,90,0,0
12/05/1940,De los Santos,visitante,dderrota,0,1,Racing Club,6° fecha del Campeonato 1940,Racing,Carou,"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti; Juan M Bongiovanni, Manuel Giúdice y Jorge Titonell; Rubén Perdomo, Delfín Unzué, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","Cuello; Salomón y Scarcella; A Díaz, J Díaz y Santiso; Larretchart, Vicente Zito, Delfín Benítez Cáceres, Fandiño y García.",foto,25 GOL Benítez Cáceres (RAC),45,90,0,0
19/05/1940,De los Santos,local,victoria,6,0,Estudiantes (La Plata),7° fecha del Campeonato 1940,La Quema,Destaillats,"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti; Juan M Bongiovanni, Manuel Giúdice y Jorge Titonell; Rubén Perdomo, Pedro Tagliabúe, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","Ogando; E Rodríguez y Palma; Blotto, Ongaro y Roberto Sbarra; Galarza, Negri, Gómez, Cirico y Manuel Pelegrina.",foto,19 GOL Emilio Baldonedo (HUR)</br>37 GOL Emilio Baldonedo (HUR)</br>47 GOL Rubén Perdomo (HUR)</br>62 GOL Herminio Masantonio (HUR)</br>75 GOL Emilio Baldonedo (HUR)</br>84 GOL Plácido Rodríguez (HUR),45,90,0,0
26/05/1940,De los Santos,visitante,empate,1,1,Newell's Old Boys (Rosario),8° fecha del Campeonato 1940,Arroyito (Rosario),Bartolomé Macías,"Bruno Barrionuevo; Adolfo Gilli y Jorge Alberti; Juan M Bongiovanni, Héctor García y Jorge Titonell; Rubén Perdomo, Ramón Guerra, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","Ramaciotti; N Gilli y Yuerín; Sisniega, Ángel Perucca y Reynoso; Gayol, Morosano, Gómez, Dorado y Sánchez.",foto,4 GOL Dorado (NOB)</br>72 GOL Herminio Masantonio (HUR),45,90,0,0
02/06/1940,De los Santos,local,victoria,4,1,Vélez Sarsfield,9° fecha del Campeonato 1940,La Quema,Ruiz,"Bruno Barrionuevo; Adolfo Gilli y Jorge Alberti; Juan M Bongiovanni, Héctor García y Jorge Titonell; Rubén Perdomo, Ramón Guerra, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","Rotman; Castrillón y Battaglia; Maggiolo, Alonso y Becerra; Reta, Noguera, García Cortina, Canteli y Menéndez.",foto,9 GOL Herminio Masantonio (HUR)</br>33 GOL Herminio Masantonio (HUR)</br>60 GOL Reta (VEL)</br>70 GOL Plácido Rodríguez (HUR)</br>79 GOL Emilio Baldonedo (HUR),45,90,0,0
16/06/1940,De los Santos,local,victoria,4,0,River Plate,10° fecha del Campeonato 1940,La Quema,Álvarez,"Bruno Barrionuevo; Adolfo Gilli y Jorge Alberti; Juan M Bongiovanni, Manuel Giúdice y Jorge Titonell; Rubén Perdomo, Ramón Guerra, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","A Rodríguez; Vasini y Cuello; Yácono, José Minella y Santamaría; Carlos Peucelle, Gallo, D'Alessandro, José Moreno y Adolfo Pedernera.",foto,3 GOL Herminio Masantonio (HUR)</br>53 GOL Rubén Perdomo (HUR)</br>67 GOL Ramón Guerra (HUR)</br>89 GOL Emilio Baldonedo (HUR),45,90,0,0
23/06/1940,De los Santos,visitante,derrota,0,3,Boca Juniors,11° fecha del Campeonato 1940,La Bombonera,Solari,"Bruno Barrionuevo; Adolfo Gilli y Jorge Alberti; Juan M Bongiovanni, Manuel Giúdice y Jorge Titonell; Rubén Perdomo, Ramón Guerra, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","Juan A Estrada; Ibáñez y Valussi; Viana, Ernesto Lazzatti y Suárez; Tenorio, Alarcón, Jaime Sarlanga, Bernardo Gandulla y Rosell.",foto,36 GOL Jaime Sarlanga (BJU)</br>46 GOL Jaime Sarlanga (BJU)</br>70 GOL Bernardo Gandulla (BJU),45,90,0,0
30/06/1940,De los Santos,local,victoria,4,3,Lanús,12° fecha del Campeonato 1940,La Quema,Vázquez,"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti; Ramón Leonardi, Manuel Giúdice y Jorge Titonell; Rubén Perdomo, Ramón Guerra, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","Yustrich; M Rodríguez y López; Ducca, Castillo y Mesa; Kalerguiz, Lorenzo, Arrieta, García y Grandín.",foto,12 GOL Emilio Baldonedo (HUR)</br>32 GOL Herminio Masantonio (HUR)</br>70 GOL Ramón Guerra (HUR)</br>74 GOL Lorenzo (LAN)</br>75 GOL Grandín (LAN)</br>85 GOL Emilio Baldonedo (HUR)</br>87 GOL Kalerguiz (LAN),45,90,0,0
07/07/1940,De los Santos,visitante,victoria,1,0,Atlanta,13° fecha del Campeonato 1940,Villa Crespo,Álvarez,"Bruno Barrionuevo; Adolfo Gilli y Jorge Alberti; Leonardi, Manuel Giúdice y Jorge Titonell; Rubén Perdomo, Ramón Guerra, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","Bresoli; J Rodríguez y Del Felice; Sosa, Covacich y Batagliero; Scliar, Zabaleta, Colosía, F Rodríguez y Martínez.",foto,87 GOL Rubén Perdomo (HUR),45,90,0,0
21/07/1940,De los Santos,visitante,victoria,5,3,Gimnasia y Esgrima (La Plata),15° fecha del Campeonato 1940,El Bosque (La Plata),Destaillats,"Bruno Barrionuevo; Adolfo Gilli y Jorge Alberti; Ramón Leonardi, Manuel Giúdice y Jorge Titonell; Rubén Perdomo, Ramón Guerra, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","Muro; Montáñez y Delovo; Tombell, Cerioni y Sabán; Belén, Fidel, Sabio, Orleans y Arregui.",foto,6 GOL Herminio Masantonio (HUR)</br>24 GOL Herminio Masantonio (HUR)</br>8 GOL Manuel Giúdice (HUR)</br>25 GOL Emilio Baldonedo (HUR)</br>41 GOL Cerioni (GYE)</br>51 GOL Orleans (GYE)</br>53 GOL Ramón Guerra (HUR)</br>70 GOL Belén (GYE),45,90,0,0
28/07/1940,De los Santos,local,victoria,2,0,Rosario Central,16° fecha del Campeonato 1940,La Quema,Amoroso,"Bruno Barrionuevo; Adolfo Gilli y Jorge Alberti; Ramón Leonardi, Manuel Giúdice y Jorge Titonell; Rubén Perdomo, Ramón Guerra, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","Araiz; Lescano y Díaz; Coloccini, Ríos y Fogel; Heredia, Laporta, Hayes, Cisterna y Maffei.",foto,64 GOL Emilio Baldonedo (HUR)</br>82 GOL Manuel Giúdice (HUR),45,90,0,0
04/08/1940,De los Santos,visitante,victoria,1,0,Tigre,17° fecha del Campeonato 1940,Victoria,Carou,"Bruno Barrionuevo; Adolfo Gilli y Jorge Alberti; Ramón Leonardi, Victorio Adamo y Jorge Titonell; Rubén Perdomo, Ramón Guerra, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","José Monjo; Quiroga y Medina; Martínez, Videla y Oubiñas; Tosoni, Sandoval, Marvezy, Troncoso y Careri.",foto,27 GOL Emilio Baldonedo (HUR)</br>63 EXP Sandoval (TIG)</br>63 EXP Herminio Masantonio (HUR),45,90,0,0
11/08/1940,De los Santos,local,victoria,1,0,Independiente,14° fecha del Campeonato 1940,La Quema,Ruiz,"Bruno Barrionuevo; Adolfo Gilli y Jorge Alberti; Juan M Bongiovanni, Héctor García y Jorge Titonell; Rubén Perdomo, Rogelio Barros, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","Bello; Lecea y Coletta; Franzolini, Leguizamón y Martínez; Maril, Vicente De la Mata, Arsenio Erico, Antonio Sastre y Zorrilla.",foto,20 GOL Emilio Baldonedo (HUR),45,90,0,0
18/08/1940,Laguna,visitante,empate,3,3,San Lorenzo de Almagro,18° fecha del Campeonato 1940,Gasómetro,Álvarez,"Bruno Barrionuevo; Adolfo Gilli y Jorge Alberti; Ramón Gazáneo, Héctor García y Jorge Titonell; Rubén Perdomo, Rogelio Barros, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","Sebastián Gualco; González y L Gilli; Ángel Zubieta, Montoya y Colombo; Fattoni, Fabrini, Isidro Lángara, Waldemar de Brito y Núñez.",foto,11 GOL Herminio Masantonio (HUR)</br>40 GOL Isidro Lángara (SLO)</br>47 GOL Herminio Masantonio (HUR)</br>57 GOL Isidro Lángara (SLO)</br>76 GOL Herminio Masantonio (HUR)</br>88 GOL Fattoni (SLO)</br>89 EXP Ángel Zubieta (SLO)</br>89 EXP Héctor García (HUR),45,90,0,0
25/08/1940,Laguna,local,victoria,6,2,Ferro C. Oeste,19° fecha del Campeonato 1940,La Quema,Destallaits,"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti; Ramón Gazáneo, Manuel Giúdice y Jorge Titonell; Delfín Unzué, Rogelio Barros, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","Rizzo; Noceda y Lezcano; San Jorge, Garavano y Fariña; Natino, Borgnia, Liztherman, Corvetto y Pícaro.",foto,1 GOL Liztherman (FCO)</br>3 GOL Rogelio Barros (HUR)</br>4 GOL Herminio Masantonio (HUR)</br>41 GOL Herminio Masantonio (HUR)</br>44 GOL Plácido Rodríguez (HUR)</br>51 GOL Natino (FCO)</br>70 GOL Herminio Masantonio (HUR)</br>87 GOL Herminio Masantonio (HUR),45,90,0,0
01/09/1940,Laguna,visitante,victoria,4,1,Banfield,20° fecha del Campeonato 1940,Talleres,Abbene,"Bruno Barrionuevo; Adolfo Gilli y Jorge Alberti; Juan M Bongiovanni, Héctor García y Jorge Titonell; Delfín Unzué, Rogelio Barros, Rogelio Ortiz, Emilio Baldonedo y Plácido Rodríguez.","Besuzzo; Fatechi y Menéndez; Cuenya, Scavone y De Terán; Agostini, Caffaratti, Cosso, Sanz y Cerro.",foto,28 GOL Emilio Baldonedo (HUR)</br>33 GOL Emilio Baldonedo (HUR)</br>48 GOL Cerro (BAN)</br>60 GOL Rogelio Ortiz (HUR)</br>63 GOL Rogelio Barros (HUR),45,90,0,0
15/09/1940,Laguna,local,derrota,0,2,Chacarita Juniors,21° fecha del Campeonato 1940,La Quema,Korein,"Bruno Barrionuevo; Adolfo Gilli y Jorge Alberti; Juan M Bongiovanni, Héctor García y Jorge Titonell; Rubén Perdomo, Rogelio Barros, Rogelio Ortiz, Emilio Baldonedo y Plácido Rodríguez.","López; Trincavelli y Angrisano; Araiz, Zava y Fazio; R Rodríguez, Setien, Cassán, Villela y Fiacone.",foto,44 GOL Setien (CHJ)</br>82 GOL Fiacone (CHJ),45,90,0,0
22/09/1940,Laguna,visitante,victoria,4,2,Platense,22° fecha del Campeonato 1940,Saavedra,Solari,"Bruno Barrionuevo; Adolfo Gilli y Jorge Alberti; Juan M Bongiovanni, Héctor García y Jorge Titonell; Rubén Perdomo, Rogelio Barros, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","López; Aldabe y Boero; Esperón, Toledo y Zárraga; Galvagni, Oviedo, Stagi, Fernández y Prado.",foto,12 GOL Fernández (PLA)</br>22 GOL Emilio Baldonedo (HUR)</br>35 GOL Rogelio Barros (HUR)</br>73 GOL Rubén Perdomo (HUR)</br>87 GOL Herminio Masantonio (HUR)</br>89 GOL Oviedo (PLA),45,90,0,0
29/09/1940,Laguna,local,derrota,1,2,Racing Club,23° fecha del Campeonato 1940,La Quema,Bartolomé Macías,"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti; Juan M Bongiovanni, Héctor García y Jorge Titonell; Rubén Perdomo, Rogelio Barros, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","Cuello; Salomón y Vidal; A Díaz, J Díaz y J García; Larretchart, Vicente Zito, Delfín Benítez Cáceres, Fila y E García.",foto,5 GOL Zito (RAC)</br>80 GOL Herminio Masantonio (HUR)</br>88 GOL Benítez Cáceres (RAC),45,90,0,0
06/10/1940,Laguna,visitante,derrota,1,5,Estudiantes (La Plata),24° fecha del Campeonato 1940,Uno (La Plata),Amoroso,"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti; Juan M Bongiovanni, Héctor García y Jorge Titonell; Rubén Perdomo, Rogelio Barros, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","Ogando; E Rodríguez y Palma; Blotto, Ongaro y Sande; Galarza, Negri, Laferrara, Cirico y Manuel Pelegrina.",foto,1 GOL Laferrara (ELP)</br>8 GOL Negri (ELP)</br>24 GOL Cirico (ELP)</br>55 GOL Laferrara (ELP)</br>62 GOL Laferrara (ELP)</br>87 GOL Rubén Perdomo (HUR),45,90,0,0
20/10/1940,Laguna,local,empate,4,4,Newell's Old Boys (Rosario),25° fecha del Campeonato 1940,La Quema,Abbene,"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti; Juan M Bongiovanni, Héctor García y Jorge Titonell; Rubén Perdomo, Rogelio Barros, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","Ramaciotti; Gilli y Sobrero; Sisniega, Ángel Perucca y Pellegrini; Amsler, Franco, Gayol, Morosano y Ferreyra.",foto,5 GOL Plácido Rodríguez (HUR)</br>15 GOL Gayol (NOB)</br>21 GOL Herminio Masantonio (HUR)</br>24 GOL Gayol (NOB)</br>27 Gayol (NOB)</br>49 GOL Emilio Baldonedo (HUR)</br>79 GOL Ferreyra (NOB)</br>86 GOL Emilio Baldonedo (HUR),45,90,0,0
27/10/1940,Laguna,visitante,derrota,0,3,Vélez Sarsfield,26° fecha del Campeonato 1940,El Fortín,Solari,"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti; Juan M Bongiovanni, Manuel Giúdice y Jorge Titonell; Rubén Perdomo, Rogelio Barros, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","Rotman; Castrillón y Battaglia; Alonso, Spinetto y Becerra; Reta, Noguera, Fuente, Correa y Fernández.",foto,6 GOL Fernández (VEL)</br>9 GOL Fuente (VEL)</br>13 GOL Reta (VEL),45,90,0,0
03/11/1940,Laguna,visitante,derota,2,4,River Plate,27° fecha del Campeonato 1940,Monumental,Bartolomé Macías,"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti; Ramón Leonardi, Manuel Giúdice y Jorge Titonell; Rubén Perdomo, Ramón Guerra, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","Blasco; Vaghi y Cuello; Norberto Yácono, José Minella y Ramos; Adolfo Pedernera, José Moreno, D'Alessandro, Ángel Labruna y Deambrosi.",foto,23 GOL Herminio Masantonio (HUR)</br>33 GOL Adolfo Pedernera (RPL)</br>36 GOL José Moreno (RPL)</br>50 GOL D'Alessandro (RPL)</br>74 GOL Deambrosi (RPL)</br>77 GOL Herminio Masantonio (HUR),45,90,0,0
10/11/1940,Laguna,local,empate,2,2,Boca Juniors,28° fecha del Campeonato 1940,Gasómetro,Solari,"Bruno Barrionuevo; Antonio Álvarez y Jorge Alberti; Ramón Gazáneo, Manuel Giúdice y Jorge Titonell; Rubén Perdomo, Delfín Unzué, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","Juan A Estrada; Ibáñez y Valussi; López, Ernesto Lazzatti y Arico Suárez; Tenorio, Alarcón, Jaime Sarlanga, Bernardo Gandulla y Emeal.",foto,28 GOL Alarcón (BJU)</br>37 EXP Rubén Perdomo (HUR)</br>41 EXP Alarcón (BJU)</br>42 GOL Herminio Masantonio (HUR)</br>69 GOL Jaime Sarlanga (BJU)</br>87 GOL Jorge Alberti (HUR)
17/11/1940,Laguna,visitante,victoria,3,2,Lanús,29° fecha del Campeonato 1940,Lanús,Abbene,"Bruno Barrionuevo; Francisco Attadía y Jorge Alberti; Ramón Gazáneo, Manuel Giúdice y Jorge Titonell; Delfín Unzué, Rogelio Barros, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","Yustrich; Ducca y M López; Becchio, Strembel y Bonastre; A López, Ingunza, Arrieta, García y Di Lallo.",foto,3 GOL Herminio Masantonio (HUR)</br>31 GOL García (LAN)</br>53 GOL Arrieta (LAN)</br>62 GOL Herminio Masantonio (HUR)</br>87 GOL Emilio Baldonedo (HUR)</br>88 EXP Ducca (LAN)</br>88 EXP Plácido Rodríguez (HUR),45,90,0,0
24/11/1940,Laguna,local,derrota,1,2,Atlanta,30° fecha del Campeonato 1940,La Quema,Bartolomé Macías,"Bruno Barrionuevo; Francisco Attadía y Jorge Alberti; Ramón Gazáneo, Manuel Giúdice y Jorge Titonell; Juan C Salvini, Delfín Unzué, Herminio Masantonio, Emilio Baldonedo y Jorge Cano.","Bresoli; Del Felice y Bedia; Valdatti, Sosa y Batagliero; Freije, Ramos, Zabaleta, Rodríguez y Martino.",foto,12 GOL Isidro Zabaleta (ATL)</br>33 GOL Herminio Masantonio (HUR)</br>79 GOL Freije (ATL),45,90,0,0
01/12/1940,Laguna,visitante,victoria,1,0,Independiente,31° fecha del Campeonato 1940,Independiente,Amoroso,"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti; Ramó Gazáneo, Manuel Giúdice y Juan M Bongiovanni; Delfín Unzué, Rogelio Barros, Herminio Masantonio, Emilio Baldonedo y Jorge Cano.","Carlés; Sanguinetti y Coletta; Franzolini, Leguizamón y C Martínez; Vilariño, Vicente De la Mata, Arsenio Erico, Antonio Sastre y Zorrilla.",foto,9 GOL Herminio Masantonio (HUR),45,90,0,0
08/12/1940,Laguna,local,victoria,3,2,Gimnasia y Esgrima (La Plata),32° fecha del Campeonato 1940,La Quema,Riestra,"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti; Ramón Gazáneo, Manuel Giúdice y Jorge Titonell; Delfín Unzué, Rogelio Barros, Herminio Masantonio, Emilio Baldonedo y Jorge Cano.","Muñiz; Montáñez y Blanes; Tombell, Scarone y E. Cerioni; P. Cerioni, Fidel, Daniele, Orleans y Arregui.",foto,20 GOL Daniele (GYE)</br>31 GOL Rogelio Barros (HUR)</br>40 GOL Rogelio Barros (HUR)</br>43 GOL Jorge Cano (HUR)</br>75 GOL P Cerioni (GYE),45,90,0,0
